Distance,Gray_Value
0,526.000
1,542.894
2,540.712
3,546.858
4,530.763
5,542.982
6,543.084
7,549.290
8,545.059
9,536.664
10,541.557
11,552.850
12,526.885
13,520.610
14,525.653
15,544.563
16,526.683
17,529.997
18,482.845
19,392.226
20,352.598
21,338.986
22,312.928
23,299.224
24,310.368
25,330.014
26,379.818
27,451.917
28,501.705
29,533.303
30,550.932
31,570.694
32,580.240
33,556.389
34,561.523
35,560.622
36,556.388
37,555.418
38,552.719
39,536.466
40,544.713
41,532.672
42,537.992
43,555.953
44,547.786
45,538.844
46,540.506
47,557.709
48,547.747
49,561.670
50,551.333
51,569.607
52,544.543
53,540.263
54,541.877
55,559.936
56,546.080
57,537.803
58,530.824
59,545.369
60,538.764
61,529.580
62,511.305
63,452.019
64,368.246
65,338.619
66,331.236
67,322.413
68,334.890
69,339.667
70,376.789
71,441.509
72,509.103
73,541.625
74,547.793
75,553.748
76,570.898
77,566.091
78,557.058
79,562.242
80,551.286
81,546.488
82,555.466
83,558.805
84,545.207
85,558.887
86,560.310
87,563.911
88,566.852
89,555.544
90,557.062
91,561.504
92,559.903
93,565.374
94,567.752
95,567.535
96,553.586
97,556.575
98,543.101
99,552.942
100,551.524
101,544.754
102,547.540
103,551.606
104,564.266
105,555.966
106,534.643
107,480.771
108,410.103
109,361.987
110,327.931
111,320.645
112,345.517
113,327.055
114,332.566
115,386.896
116,476.620
117,518.387
118,551.069
119,564.481
120,562.437
121,562.420
122,570.544
123,591.367
124,653.121
125,621.523
126,560.614
127,548.916
128,537.739
129,556.986
130,575.891
131,547.570
132,562.480
133,564.598
134,558.801
135,572.889
136,579.547
137,573.605
138,580.634
139,587.876
140,568.298
141,555.354
142,559.450
143,566.172
144,573.897
145,549.682
146,557.754
147,550.038
148,553.059
149,546.899
150,544.950
151,522.692
152,455.026
153,392.860
154,357.423
155,341.615
156,331.779
157,339.931
158,347.937
159,389.912
160,471.960
161,539.624
162,569.961
163,585.733
164,589.432
165,584.486
166,587.193
167,567.808
168,561.034
169,556.720
170,568.529
171,596.955
172,620.735
173,610.195
174,596.708
175,579.217
176,564.807
177,580.593
178,576.808
179,588.553
180,567.009
181,573.998
182,561.532
183,567.184
184,577.026
185,578.865
186,568.166
187,575.989
188,583.020
189,573.118
190,574.872
191,574.594
192,569.287
193,578.451
194,566.706
195,549.815
196,498.782
197,417.917
198,379.621
199,353.682
200,345.361
201,352.044
202,358.649
203,378.618
204,440.701
205,516.330
206,570.384
207,585.702
208,600.277
209,593.273
210,592.160
211,591.329
212,596.141
213,594.279
214,584.534
215,582.485
216,580.172
